Exemplar,likert_average,rating_average,likert_rank,rating_rank
explorer,5.2,7.75,102,65
farmer,5.9,8.0,67,38
fashion designer,5.0,7.0,131,114
fireman,7.0,8.1,6,18
fisherman,5.0,7.0,132,115
fitter,6.0,8.0,56,39
floor tiler,5.0,7.2,133,88
florist,6.0,7.3,57,83
food inspector,3.8,6.55,182,165
forester,5.0,8.0,134,40
fruit farmer,6.5,8.0,31,41
fully qualified waiter,6.2,7.6,43,71
gardener,7.0,8.0,7,42
geologist,5.0,6.9,135,154
geriatic nurse,7.0,9.0,8,4
glazier,5.0,7.0,136,116
goldsmith,5.0,7.0,137,117
graphic designer,5.7,7.4,72,80
gynaecologist,5.7,8.3,73,11
hairdresser,6.8,9.0,19,5
healer,4.8,5.95,172,178
historian,5.0,7.0,138,118
homeopath,5.0,5.9,139,179
hotel manager,5.7,7.0,74,119
hunter,5.0,7.0,140,120
innkeeper,5.1,7.6,109,72
inspector,6.7,8.0,21,43
interior designer,5.2,7.0,103,121
interpreter,5.0,7.1,141,93
joiner,7.0,8.0,9,44
journalist,5.1,8.05,110,22
judge,6.4,8.0,35,45
judicial officer,5.0,6.3,142,169
jurist,5.8,8.0,70,46
lab technician,5.0,6.8,143,160
landscape architect,5.0,6.1,144,172
lathe operator,3.0,6.05,187,173
lawyer,6.0,8.0,58,47
lecturer,5.0,7.1,145,94
librarian,6.1,7.0,48,122
locksmith,6.7,7.0,22,123
lorry driver,5.1,8.0,111,48
machinist,5.0,7.0,146,124
management consultant,5.2,8.0,104,49
manager,5.1,7.25,112,85
mason,5.7,7.05,75,98
masseur,5.0,7.1,147,95
mathematician,5.6,7.7,77,68
mechanic,6.3,8.0,40,50
media designer,5.0,6.8,148,161
medical representative,5.0,6.5,149,166
merchant,6.9,7.75,14,66
meteorologist,6.5,7.0,32,125
midwife,5.1,7.6,113,73
milling cutter,3.7,7.0,183,126
musician,6.4,7.0,36,127
notary,6.0,7.0,59,128
nurse,6.9,8.4,15,10
nursery-school teacher,6.1,8.1,49,19
occupational therapist,5.1,6.8,114,162
office administrator,6.0,8.8,60,7
officer,5.4,7.3,86,84
oncologist,6.6,8.25,25,13
optician,6.0,7.0,61,129
orthodontist,5.2,8.0,105,51
orthopedist,6.1,7.2,50,89
painter,6.6,7.1,26,96
paralegal,4.4,7.0,179,130
paramedic,4.0,6.2,180,171
pastor,5.0,7.1,150,97
pathologist,5.0,6.9,151,155
pharmacist,6.3,8.15,41,15
philosopher,4.8,7.2,173,90
photographer,5.0,7.0,152,131
physicist,5.0,7.9,153,63
physiotherapist,5.9,8.0,68,52
pilot,5.5,8.0,82,53
plasterer,5.0,6.85,154,158
playwright,3.0,5.5,188,181
plumber,6.9,8.0,16,54
poet,5.1,8.1,115,20
policeman,6.9,8.1,17,21
pool attendant,5.4,7.0,87,132
porter,5.2,7.0,106,133
postal worker,5.4,8.0,88,55
precision engineer,5.0,9.0,155,6
producer,6.0,6.9,62,156
projectionist,3.0,5.5,189,182
psychologist,6.4,8.0,37,56
psychotherapist,5.5,8.120000000000001,83,16
publicist,5.0,7.0,156,134
radiologist,5.0,8.0,157,57
refuse collector,5.4,7.0,89,135
roofer,7.0,7.0,10,136
sailor,5.0,4.0,158,189
salesman,6.0,7.0,63,137
secretary,5.0,8.0,159,58
shipbuilder,3.0,6.4,190,167
shoemaker,4.8,3.0,174,191
social worker,6.2,7.0,44,138
sociologist,5.0,7.0,160,139
sound technician,5.0,7.0,161,140
speech therapist,5.0,6.0,162,177
sports assistant,4.8,6.7,175,163
sports physician,5.0,7.0,163,141
sports therapist,5.0,7.0,164,142
steward,5.0,6.4,165,168
stonemason,5.0,4.1,166,187
surgeon,5.4,8.0,90,59
tailor,5.1,7.0,116,143
tax advisor,7.0,7.6,11,74
teacher,6.5,8.0,33,60
technical draughtsman,5.0,7.0,167,144
technician,5.3,7.0,95,145
theologian,4.9,5.5,171,183
therapist,6.4,7.5,38,78
tourist guide,5.1,7.0,117,146
track layer,3.4,7.0,184,147
train driver,6.2,8.0,45,61
undertaker,4.6,5.2,178,184
varnisher,5.0,5.9,168,180
veterinarian,6.0,7.0,64,148
veterinary assistant,5.3,7.0,96,149
watchmaker,4.0,7.0,181,150
welder,5.4,7.0,91,151
wholesaler,5.0,8.0,169,62
zookeeper,5.0,7.0,170,152
zoologist,5.1,7.0,118,153
